time_us curve_nan curve_nan curve_nan curve_nan curve_nan
4.0601503759e+03 4.6849829340e-01 5.1807839848e-01 5.6251982903e-01 5.7983814766e-01 6.0373361000e-01
4.0789473684e+03 4.6619575215e-01 5.1578895093e-01 5.6028335121e-01 5.7769203999e-01 6.0165217088e-01
4.0977443609e+03 4.6390320026e-01 5.1350561054e-01 5.5805115347e-01 5.7554877743e-01 5.9957291057e-01
4.1165413534e+03 4.6162061652e-01 5.1122846902e-01 5.5582320147e-01 5.7340871204e-01 5.9749581934e-01
4.1353383459e+03 4.5934786495e-01 5.0895761750e-01 5.5359953456e-01 5.7127173850e-01 5.9542117697e-01
4.1541353383e+03 4.5708509803e-01 5.0669307312e-01 5.5138029241e-01 5.6913792679e-01 5.9334881700e-01
4.1729323308e+03 4.5483235200e-01 5.0443483702e-01 5.4916554499e-01 5.6700735489e-01 5.9127890127e-01
4.1917293233e+03 4.5258943190e-01 5.0218289496e-01 5.4695541594e-01 5.6488015053e-01 5.8921150871e-01
4.2105263158e+03 4.5035645915e-01 4.9993754705e-01 5.4474976193e-01 5.6275625051e-01 5.8714662120e-01
4.2293233083e+03 4.4813354697e-01 4.9769862997e-01 5.4254884586e-01 5.6063589642e-01 5.8508442978e-01
4.2481203008e+03 4.4592043412e-01 4.9546628039e-01 5.4035267357e-01 5.5851885725e-01 5.8302488708e-01
4.2669172932e+03 4.4371730361e-01 4.9324053544e-01 5.3816117834e-01 5.5640555204e-01 5.8096817080e-01
4.2857142857e+03 4.4152403010e-01 4.9102135039e-01 5.3597457066e-01 5.5429598718e-01 5.7891413146e-01
4.3045112782e+03 4.3934054016e-01 4.8880894475e-01 5.3379269943e-01 5.5218987361e-01 5.7686308755e-01
